Studio_Name_Clean,Country
A Styl Dragons,Czech Republic
Abejas Salamanca,Mexico
Academia Amitie,Columbia
Academia De Baile,Mexico
Ada,England
Ada Dark Angels,England
Akropolis Cheer,Sweden
All Star Studio 74,Mexico
Anahuac Queretaro,Mexico
Angels Dance Academy (Ada),England
Asc Siegen,Germany
Attitude Dance Centre,Australia
Bewegingscentrum Drachten,Netherlands
Big Fire,USA
Sweden,Sweden
Brasilia Xtreme,Brazil
Champion Dance And Cheer,Scotland
Cheer Label Langenfeld,Germany
Cheerforce,USA
Cheerforce Arizona,USA
Cheerforce Arizona Aces Danceforce Az,USA
Cheerstars Unique,USA
Chinese Taipei,Taiwan
Chinese Taipei Cheerleading Assoc,Taiwan
Chongqing No 29 Middle School,China
Cll Spurs,Germany
Club Deportivo Titanes All Stars,Colombia
Club Gorilas,Colombia
Club Mountain Envigado,Colombia
Cny Storm All Stars,USA
Dance And Cheer Academy,USA
Dance Deluxe,Germany
Dance Kraljica,Croatia
Dance Studio Enrique Vargas,Mexico
Dance Vibe,USA
Dance24Seven,USA
Deakin University,Australia
Demonteam Bcd,Belguim
Dream Allstars,Poland
Dream Team - Team Poland,Poland
Dream Team Senior,Poland
Dsf Brilliants,Japan
Dynasty Dance Centre,Australia
Dynasty Dance Centre Royal Elite,Australia
Electric Girls,USA
Elite Legends Of Ohio,USA
Entourage Elite,USA
Epa All Stars,USA
Equipo Breezy,Mexico
Escuela De Danza Adriana Yepez,Ecuador
Estilo Urbano,Colombia
Eurodancers,Switzerland
Ficec,Colombia
Fisac,Italy
Flm Allstars,England
Fundacion Tributo,Colombia
Geneva Wild Eagles,Switzerland
Gold Star,Scotland
Gold Star Cheer & Dance,Scotland
Golden State Elite Cheer & Dance,USA
Guangzhou Huadu Xinhua Middle School,China
Gym & Cheer,USA
Haileybury Alumni,Australia
Hamburg Towers,Germany
Hy-Fidelity Dance,USA
Inferno Cheer & Dance,USA
Intensity Athletics,USA
Intros Allstars,Norway
Jg Dance Academy,England
Jiefang Road Primary School Of Linfen City,China
Julle United Dansforening - Allstars,Denmark
Jump Dance Studio,Norway
Kangjie Middle School,China
Kif Dance,Norway
Kongsberg Cheer Dance - Kcd,Norway
Leopardos,Colombia
Leshan Normal University,China
Magic Devils,South Korea
Manabiya,Ecuador
Mathis Dance Studio,USA
Melbourne University Cheer And Dance,Australia
Midrash Dance Centre,Mexico
Midwest Cheer Elite Xenia,USA
Millenium Dancers,USA
Mk Diamonds,USA
Monash Mystics,Australia
Msv 90 E V,Germany
Network Medellin,Colombia
Niagara Cheerleading,USA
Normal Superior,Columbia
North Queensland Warriors Cheer & Dance,Australia
Oblivion Allstars,England
Odessa Regional Federation,Ukraine
Omar Danza Y Ritmo,Ecuador
Palermo De San Jose,Costa Rica
Peppermint Dance Company,Australia
Phoenix All Girl,USA
Pontificia Universidad Catolica,Chile
Pure Allstars,Australia
Rizhao Jinhaian Primary School,China
Rmit Cheerleading Club,Australia
Rocheer & Factory All-Stars,Mexico
Rockstar Cheer,England
Rockstar Legacy,England
Rokkaz And Friends,Germany
Rs Studio All Star,USA
Sa Academy,England
Saca Supreme,USA
Sd Pike,Slovenia
Shanghai Medical School,China
Sharon Ann Cheer Academy,USA
Silver Stars,Germany
Sirens Cheerdance Klubb,Norway
Sirens Dance Team,Norway
Sky Dance,USA
Sm Cheer & Dance - Starz Elite,USA
Spg Dance Project,USA
Spirit All Stars Guatemala,Guatemala
Sportsclub Akropolis As,Norway
Stage Centro De Artes Escenicas,El Salvador
Starlets,USA
Starlight,USA
Starlites Dance,USA
Stars Vipers San Antonio,USA
Strike Force,USA
Studio 22 High Tek Dance Studio,USA
Studio 3 Cheer,USA
Studio 74,Mexico
Team Brazil,Brazil
Team East China Normal University,China
Team Israel,Israel
Team Italy,Italy
Team Korea,South Korea
Team Nanjing,China
Team Pom Brazil,Brazil
Texas Cheer Allstars,USA
The Brand Dance Company,USA
The Mathis School Of Dancing,Australia
Thebrezzy Art/Dance,USA
Top Dance Studio,USA
Top Gun All Stars,USA
Toxic Cheer And Dance,USA
Triple Threat Athletics,USA
Tua The Unit,USA
Union Dance Rancaqua,Chile
Universidad Po;Otecmoca Salemsoama,Ecuador
Universidad Politecnica Salesiana,Ecuador
Upa Dance,Guatemala
Upac,USA
Urbanized Cheer And Dance Academy,USA
We Fitness Groningen,Netherlands
West Coast Royalty,USA
Wing Dance Promotion Silver Wings,Japan
Wuhan Sports University,China
Xihua University,China
Yo Dance,USA
Zacs Allstars,USA
